# selfplay summary (own = strategy, opp = opponent; WATCH tree; rates in %)

## arms
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma                            20 19-1-0     [76.4,99.1]    69.1%   [64.3,73.9]    38.5%   30.5%   0.0%   0.0%   0.0% 0.60/0.82 1.65 1.95     +4.5    92   5.6%  2.25
loose                             20 20-0-0    [83.9,100.0]    65.4%   [61.9,69.4]    43.2%   22.2%   5.0%   0.0%   0.0% 0.20/0.48 0.15 0.05     +8.9    82  26.3%  0.57
user                              20 20-0-0    [83.9,100.0]    63.4%   [58.3,68.6]    42.3%   21.1%   5.0%   0.0%   0.0% 0.23/0.57 0.05 0.20     +6.6    82  28.9%  0.97

## arm|rank|color
group                              n    W-L-J        win CI own mean        own CI opp mean own-opp P(o<p) P<=T+5   P<15  loss o/p  >=6 flip lead med moves hp dev p95 s
enigma|strategy:human|B           10  9-1-0     [59.6,98.2]    69.1%   [61.7,77.2]    42.4%   26.7%   0.0%   0.0%   0.0% 0.64/0.91 1.80 1.60     +5.4    89   5.9%  2.03
enigma|strategy:human|W           10 10-0-0    [72.2,100.0]    69.1%   [62.9,74.8]    34.7%   34.4%   0.0%   0.0%   0.0% 0.57/0.74 1.50 2.30     +4.1   105   3.8%  2.72
loose|strategy:human|B            10 10-0-0    [72.2,100.0]    67.8%   [64.7,71.1]    41.6%   26.2%   0.0%   0.0%   0.0% 0.19/0.51 0.20 0.10     +7.3    82  22.7%  0.54
loose|strategy:human|W            10 10-0-0    [72.2,100.0]    63.1%   [57.7,70.0]    44.8%   18.3%  10.0%   0.0%   0.0% 0.21/0.45 0.10 0.00     +9.9    87  28.3%  0.60
user|strategy:human|B             10 10-0-0    [72.2,100.0]    66.8%   [60.1,73.8]    42.2%   24.6%   0.0%   0.0%   0.0% 0.25/0.60 0.00 0.30     +5.7    81  23.6%  0.92
user|strategy:human|W             10 10-0-0    [72.2,100.0]    60.1%   [53.2,67.4]    42.4%   17.6%  10.0%   0.0%   0.0% 0.22/0.54 0.10 0.10    +11.3    87  31.4%  1.01

## own top1 by bin (pooled)
enigma: all=70.5% gui_opening=70.0% gui_middle=65.9% gui_endgame=76.4% cal_opening=70.0% cal_middle=65.1% cal_endgame=84.0%
loose: all=64.9% gui_opening=72.2% gui_middle=68.0% gui_endgame=51.2% cal_opening=72.2% cal_middle=63.4% cal_endgame=56.4%
user: all=62.2% gui_opening=73.5% gui_middle=63.3% gui_endgame=48.4% cal_opening=73.5% cal_middle=60.3% cal_endgame=47.7%

## paired diff user - enigma (same seed; conf 0.95)
own_top1         n= 20 mean=-0.0563 t=-0.1324..+0.0197 boot=-0.1249..+0.0132 wilcoxon_p=0.0799 verdict(+-3pt)=extend
opp_top1         n= 20 mean=+0.0378 t=-0.0178..+0.0934 boot=-0.0152..+0.0884 wilcoxon_p=0.2024 verdict(+-3pt)=extend
own_minus_opp    n= 20 mean=-0.0941 t=-0.1775..-0.0107 boot=-0.1694..-0.0186 wilcoxon_p=0.0230 verdict(+-3pt)=extend
flip_moves       n= 20 mean=-1.7500 t=-2.5937..-0.9063 boot=-2.5500..-1.0000 wilcoxon_p=0.0012 verdict(+-3pt)=-
win              n= 20 mean=+0.0500 t=-0.0547..+0.1547 boot=+0.0000..+0.1500 wilcoxon_p=1.0000 verdict(+-3pt)=-
own_mean_ptloss  n= 20 mean=-0.3706 t=-0.5472..-0.1940 boot=-0.5311..-0.2115 wilcoxon_p=0.0003 verdict(+-3pt)=-
ge6              n= 20 mean=-1.6000 t=-2.2149..-0.9851 boot=-2.1500..-1.0500 wilcoxon_p=0.0005 verdict(+-3pt)=-
